"","SCC","Data.Category","Short.Name","EI.Sector","Option.Group"
"191","10300502","Point","Ext Comb /Comm-Inst /Distillate Oil /10-100 Million Btu/hr **","Fuel Comb - Comm/Institutional - Oil",""
"192","10300503","Point","Ext Comb /Comm-Inst /Distillate Oil /< 10 Million Btu/hr **","Fuel Comb - Comm/Institutional - Oil",""
"193","10300504","Point","Ext Comb /Comm-Inst /Distillate Oil /Grade 4 Oil","Fuel Comb - Comm/Institutional - Oil",""
"194","10300601","Point","Ext Comb /Comm-Inst /Natural Gas /> 100 Million Btu/hr","Fuel Comb - Comm/Institutional - Natural Gas",""
"195","10300602","Point","Ext Comb /Comm-Inst /Natural Gas /10-100 Million Btu/hr","Fuel Comb - Comm/Institutional - Natural Gas",""
"196","10300603","Point","Ext Comb /Comm-Inst /Natural Gas /< 10 Million Btu/hr","Fuel Comb - Comm/Institutional - Natural Gas",""
"197","10300701","Point","Ext Comb /Comm-Inst /Process Gas /POTW Digester Gas-fired Boiler","Fuel Comb - Comm/Institutional - Other",""
"198","10300799","Point","Ext Comb /Comm-Inst /Process Gas /Other Not Classified","Fuel Comb - Comm/Institutional - Other",""
"199","10300811","Point","Ext Comb /Comm-Inst /Landfill Gas","Fuel Comb - Comm/Institutional - Other",""
"200","10300901","Point","Ext Comb /Comm-Inst /Bark-fired Boiler","Fuel Comb - Comm/Institutional - Biomass",""
